"16cell_1-10" "4cell_2-2" "8cell_1-4" "early2cell_0-2" "earlyblast_3-12" "late2cell_5-2" "lateblast_1-10" "mid2cell_0-1" "midblast_1-12" "zy1"
"Csnk1g2" 1 157 143 80 2 34 320 1 609 141
"Csnk1g3" 220 2372 24 2159 0 12113 1 2504 9 3363
"Csnk2a1" 725 398 337 1237 1 4315 1039 1635 1343 5450
"Csnk2a2" 23 1210 100 2574 0 5681 481 597 357 11236
"Csnk2b" 4759 2801 627 2887 886 13153 519 1985 1614 6298
"Csnka2ip" 0 0 0 0 0 0 0 0 0 0
"Cspg4" 0 0 0 0 0 0 0 0 0 0
"Cspg5" 0 0 0 130 0 44 0 3 0 953
"Cspp1" 0 30 0 69 242 5 582 11 168 528
"Csprs" 0 0 0 0 0 0 0 0 0 0
"Csrnp1" 1199 259 4 105 0 3307 71 1854 0 59
"Csrnp2" 308 2729 382 4532 0 17615 0 2910 296 4869
"Csrnp3" 0 62 3 20 0 3267 0 421 1 246
"Csrp1" 0 0 37 179 1 393 1301 3 21 428
"Csrp2" 4 29 1 36 0 0 2046 0 865 2
"Csrp2bp" 2203 1067 69 5878 0 4257 770 679 126 20845
"Csrp3" 0 0 0 0 0 0 0 0 0 0
"Cst10" 0 0 0 0 0 0 0 0 0 0
"Cst11" 0 0 0 0 0 0 0 0 0 0
"Cst12" 0 0 0 0 0 0 0 0 0 0
"Cst13" 0 0 0 0 0 0 0 0 49 0
"Cst3" 650 35 42 26 0 6 1569 1 546 323
"Cst6" 1 3 0 0 0 4 0 0 0 0
"Cst7" 226 803 5 0 0 3237 3 204 16 0
"Cst8" 0 0 0 0 0 0 0 0 0 0
"Cst9" 0 0 0 0 0 0 0 0 0 0
"Csta" 0 0 28 1 343 1776 147 157 0 2
"Cstad" 0 0 0 0 0 1 0 0 0 0
"Cstb" 3992 342 623 0 5253 525 6201 0 4132 18
"Cstf1" 657 1782 349 604 2665 17819 892 935 550 1496
"Cstf2" 0 471 273 284 8 2449 156 50 741 817
"Cstf2t" 1 3101 121 202 0 16601 89 4410 555 84
"Cstf3" 908 794 72 426 0 2247 374 261 1974 360
"Cstl1" 0 0 0 0 0 0 0 0 0 0
"Ctag2" 0 0 0 0 0 0 0 0 0 0
"Ctage5" 0 640 31 2558 7 929 142 888 1888 6863
"Ctbp1" 2 9 0 67 4 13 337 4 652 344
"Ctbp2" 581 15 49 6973 546 651 1723 870 1434 14286
"Ctbs" 0 0 12 81 0 5 122 4 275 448
"Ctcf" 707 2020 252 2847 389 27710 652 3793 540 9068
"Ctcfl" 0 0 0 0 0 28 0 0 0 0
"Ctdnep1" 384 776 26 410 4 3674 368 245 260 1392
"Ctdp1" 230 299 178 76 216 3161 348 348 292 629
"Ctdsp1" 0 251 1 655 0 1300 163 113 500 2042
"Ctdsp2" 0 1673 36 491 0 410 847 465 1725 2529
"Ctdspl" 0 161 0 211 0 720 275 148 0 570
"Ctdspl2" 771 1361 57 3577 0 4396 246 1635 814 5102
"Ctf1" 0 0 0 58 0 32 0 3 0 335
"Ctf2" 0 0 0 0 0 343 0 24 0 0
"Ctgf" 198 0 6 0 0 2 11 0 16 0
"Cth" 11352 3241 1208 411 3275 26240 1096 902 298 939
"Cthrc1" 91 7 314 0 0 15 0 4 0 0
"Ctif" 0 0 0 124 0 1414 0 54 0 703
"Ctla2a" 0 0 0 0 0 0 0 0 0 0
"Ctla2b" 0 0 0 0 0 0 0 0 0 0
"Ctla4" 0 0 0 55 0 0 0 0 0 8
"Ctnna1" 1056 2270 330 2259 5474 11592 2906 1481 3878 8449
"Ctnna2" 0 0 0 0 0 2 0 134 0 0
"Ctnna3" 0 0 1 1642 0 1365 0 69 0 1266
"Ctnnal1" 107 470 151 13482 1250 6588 766 7212 70 27357
"Ctnnb1" 2162 1550 235 5472 107 10710 5078 627 6043 18035
"Ctnnbip1" 0 666 2 586 809 2298 0 295 0 3258
"Ctnnbl1" 637 3709 112 1542 1 12539 1540 947 2068 3472
"Ctnnd1" 2054 2651 351 6735 7 7260 2383 696 252 12980
"Ctnnd2" 0 0 0 104 0 3 0 158 0 586
"Ctns" 0 1 0 199 0 11 1 17 8 497
"Ctps" 876 3165 160 5618 2881 10807 1256 918 2111 13769
"Ctps2" 1 713 2 248 1 13 0 6 0 219
"Ctr9" 772 698 2 281 106 5536 7 1044 1454 299
"Ctrb1" 0 0 0 6 0 151 0 6 0 0
"Ctrc" 0 52 0 0 0 0 0 0 0 55
"Ctrl" 349 0 0 0 0 126 0 1 0 0
"Cts3" 0 0 0 15 0 0 0 1 0 91
"Cts6" 0 0 0 1 0 0 0 6 0 718
"Cts7" 0 0 0 0 0 0 0 0 0 0
"Cts8" 0 0 0 0 0 1 0 0 0 0
"Cts8-ps" 0 0 0 0 0 0 0 0 0 0
"Ctsa" 10902 4077 1282 1 895 11482 4268 398 4794 2
"Ctsb" 4492 6766 629 96 83 23025 3709 3654 4133 1237
"Ctsc" 13366 6429 758 3 3863 9682 1471 2658 1423 0
"Ctsd" 3100 396 1795 215 13736 283 1183 2 7371 228
"Ctse" 0 0 0 0 0 0 0 0 0 0
"Ctsf" 0 0 0 0 0 0 0 0 0 0
"Ctsg" 0 0 0 0 0 0 0 0 0 0
"Ctsh" 771 46 34 670 0 406 0 390 0 1950
"Ctsj" 0 0 0 0 0 0 0 0 0 0
"Ctsk" 0 0 0 0 0 113 0 0 4 0
"Ctsl" 4949 15038 2556 6 585 45426 6572 7522 9719 5
"Ctsll3" 0 0 0 0 0 0 96 0 0 0
"Ctsm" 0 0 0 9 0 0 0 1 0 57
"Ctso" 0 0 1 0 3 0 1 0 1 0
"Ctsq" 0 0 0 0 0 0 0 0 0 0
"Ctsr" 0 0 0 0 0 0 0 0 0 0
"Ctss" 0 0 0 0 0 52 0 0 0 0
"Ctsw" 0 0 0 0 0 0 0 0 0 0
"Ctsz" 44 1819 664 0 0 2417 716 0 529 0
"Cttn" 2749 1501 491 0 9289 359 3414 124 6453 253
"Cttnbp2" 0 0 0 210 0 0 106 1 0 337
"Cttnbp2nl" 0 226 2 4323 2 3760 679 2506 219 7871
"Ctu1" 0 77 41 35 0 786 21 142 1 334
"Ctu2" 397 38 68 0 0 43 219 35 772 0
"Ctxn1" 134 0 44 42 0 94 0 3 0 142
"Ctxn2" 0 0 0 0 0 2 0 0 0 0
"Ctxn3" 0 0 0 0 0 0 0 0 0 0
"Cubn" 0 0 27 406 0 943 0 359 0 409
"Cuedc1" 0 0 0 54 0 0 0 6 0 105
"Cuedc2" 0 256 15 0 8 3 296 0 251 0
"Cul1" 914 3048 111 23746 2926 38623 1712 15531 2739 66441
"Cul2" 159 17 411 175 1348 4727 796 81 6040 859
"Cul3" 1148 3119 338 350 804 75106 3120 5724 1988 1518
"Cul4a" 0 2 283 15 1 111 30 1 1707 491
"Cul4b" 589 3806 170 11497 1671 22214 2187 5685 4772 12669
"Cul5" 12387 3685 1578 618 4271 7369 3352 1565 7583 1275
"Cul7" 0 0 0 0 1 210 32 1 356 0
"Cul9" 0 0 0 0 0 33 0 1 0 0
"Cuta" 2028 306 771 176 26 1262 1791 4 849 583
"Cutc" 33 393 38 0 0 0 70 0 153 0
"Cux1" 259 0 66 419 2 346 75 85 1242 875
"Cux2" 580 271 88 146 1 1306 20 117 0 1751
"Cuzd1" 0 0 0 0 0 0 0 0 0 0
"Cwc15" 1496 2143 777 2145 3383 13617 1158 2590 1207 4333
"Cwc22" 77 1189 41 131 1 3439 215 644 427 620
"Cwc25" 425 227 46 378 0 3757 318 888 13 4683
"Cwc27" 363 0 7 0 5 28 1039 0 1633 125
"Cwf19l1" 646 16 71 92 0 159 292 173 403 227
"Cwf19l2" 101 16 37 825 5 1694 417 23 501 1532
"Cwh43" 0 0 0 0 0 0 1 0 6 0
"Cx3cl1" 0 0 0 0 0 0 0 1 0 0
"Cx3cr1" 0 0 0 0 0 0 0 1 0 0
"Cxadr" 440 2055 72 0 27 10110 660 232 0 97
"Cxcl1" 0 0 0 0 0 0 0 0 0 0
"Cxcl10" 0 0 0 5 0 0 0 0 0 0
"Cxcl11" 0 0 0 32 0 374 0 0 0 0
"Cxcl12" 0 0 0 0 1 0 0 0 1 0
"Cxcl13" 0 0 0 0 0 0 0 2 0 287
"Cxcl14" 0 0 1 52 0 0 0 8 0 194
"Cxcl15" 0 0 0 1 0 0 0 0 0 0
"Cxcl16" 0 0 0 3 0 7800 0 1750 0 0
"Cxcl17" 0 0 0 0 0 0 0 0 0 0
"Cxcl2" 0 0 0 0 0 0 0 0 0 0
"Cxcl3" 0 0 0 0 0 1 0 0 0 0
"Cxcl5" 0 0 0 0 0 0 0 0 0 54
"Cxcl9" 0 14 0 0 0 0 0 0 0 0
"Cxcr1" 0 0 0 0 0 0 0 0 0 0
"Cxcr2" 2 0 0 2 11 107 8 1 2 10
"Cxcr3" 0 0 0 46 0 0 0 1 0 483
"Cxcr4" 21 0 0 28 0 1 0 7 0 505
"Cxcr5" 0 0 0 0 0 0 2 0 0 0
"Cxcr6" 0 0 0 0 0 0 0 0 0 0
"Cxcr7" 0 0 0 0 0 8 0 0 0 219
"Cxx1a" 4 11 0 31 0 31 2 0 0 186
"Cxx1b" 2 10 0 53 0 59 1 0 0 278
"Cxx1c" 8 6 0 15 0 26 1 0 0 102
"Cxxc1" 0 555 115 591 1 670 29 113 1244 2098
"Cxxc4" 0 0 0 2 0 3 0 0 0 0
"Cxxc5" 0 0 0 19 0 238 306 0 286 5
"Cyb5" 599 0 81 303 4815 10 1077 241 2319 1368
"Cyb561" 0 2 0 12 0 0 0 132 0 74
"Cyb561d1" 0 0 0 55 0 0 0 0 0 4
"Cyb561d2" 0 2 133 203 4108 8 1759 0 357 398
"Cyb5b" 0 589 0 2363 0 2933 1 74 0 6943
"Cyb5d1" 0 102 0 0 0 1 0 0 55 9
"Cyb5d2" 1 48 0 456 0 563 639 11 698 214
"Cyb5r1" 0 301 4 0 14 8 373 0 4952 6
"Cyb5r2" 0 0 0 28 0 0 0 13 0 3
"Cyb5r3" 806 398 0 481 20 2518 1097 247 2922 1174
"Cyb5r4" 1 277 44 733 0 1432 381 362 894 1412
"Cyb5rl" 0 0 0 0 0 0 0 0 273 0
"Cyba" 258 0 9 0 0 4 297 0 0 0
"Cybasc3" 14 798 10 51 0 15 749 116 13 146
"Cybb" 0 0 0 0 0 0 0 0 0 1
"Cybrd1" 0 0 0 0 0 1 0 0 0 0
"Cyc1" 192 29 341 0 100 976 1429 77 2847 91
"Cycs" 246 479 160 136 1637 1595 1511 146 1094 443
"Cyct" 141 0 0 112 0 0 184 3 324 207
"Cyfip1" 1431 736 29 603 4 992 894 192 3426 635
"Cyfip2" 0 21 3 306 3 1327 0 12 0 1287
"Cygb" 0 0 0 0 0 0 0 0 0 0
"Cyhr1" 281 1230 29 214 0 718 202 20 30 707
"Cylc1" 0 0 0 0 0 0 0 0 0 0
"Cylc2" 0 0 0 0 0 0 0 0 0 0
"Cyld" 482 30 2 265 0 41 3 141 1 640
"Cym" 0 0 0 0 0 0 0 0 0 0
"Cyp11a1" 0 0 0 2 0 0 0 0 0 0
"Cyp11b1" 0 0 0 0 0 0 0 0 0 0
"Cyp11b2" 0 0 0 0 0 0 2 0 0 0
"Cyp17a1" 1 0 0 1 0 0 0 245 0 0
"Cyp19a1" 0 0 0 195 0 0 0 7 0 213
"Cyp1a1" 0 0 0 0 0 0 0 0 0 0
"Cyp1a2" 0 0 0 0 0 0 0 0 0 0
"Cyp1b1" 0 0 0 0 0 0 0 0 0 7
"Cyp20a1" 0 0 57 14 0 2 0 0 124 0
"Cyp21a1" 0 0 0 0 0 0 0 2 0 0
"Cyp24a1" 0 0 0 0 0 0 0 0 0 0
"Cyp26a1" 0 0 0 13 1 1 0 0 0 0
"Cyp26b1" 0 0 0 0 0 0 0 0 0 0
"Cyp26c1" 0 0 0 0 0 0 0 0 0 0
"Cyp27a1" 0 0 0 0 0 0 0 0 0 94
"Cyp27b1" 0 0 1 0 1 472 0 3 0 0
"Cyp2a12" 0 13 0 0 1 0 0 0 0 0
"Cyp2a22" 1 1 0 0 0 19 0 0 0 0
"Cyp2a4" 0 0 0 0 0 0 0 0 0 44
"Cyp2a5" 0 0 0 0 0 0 0 0 0 9
"Cyp2ab1" 0 0 0 0 0 0 0 0 0 0
"Cyp2b10" 0 0 0 2 0 1516 0 2 9 14
"Cyp2b13" 0 0 1 0 0 81 0 24 3 17
"Cyp2b19" 0 0 0 40 0 9 0 2 4 138
"Cyp2b23" 0 0 0 3 2 13 0 0 469 130
"Cyp2b9" 1 0 1 0 0 8 0 38 0 2
"Cyp2c29" 0 0 0 0 0 0 0 0 0 0
"Cyp2c37" 0 0 0 1 0 0 0 0 0 0
"Cyp2c38" 0 0 0 0 0 0 0 0 0 0
"Cyp2c39" 0 0 0 0 0 0 0 0 0 0
"Cyp2c40" 0 0 1 0 0 0 0 2 0 67
"Cyp2c44" 0 1 0 40 0 1546 73 2 0 185
"Cyp2c50" 1 0 0 1 1 1 1 0 0 0
"Cyp2c53-ps" 0 0 0 0 0 0 0 3 0 2
"Cyp2c54" 0 0 0 32 0 0 0 0 0 0
"Cyp2c55" 0 0 1 0 0 0 0 0 0 0
"Cyp2c65" 0 0 0 0 0 0 0 0 0 0
"Cyp2c66" 0 0 0 0 0 0 0 0 0 0
"Cyp2c67" 0 0 0 0 0 1 0 0 0 68
"Cyp2c68" 0 0 0 0 0 0 0 0 0 6
"Cyp2c69" 0 0 0 0 0 0 0 2 0 255
"Cyp2c70" 0 0 0 0 0 0 0 1 0 0
"Cyp2d10" 0 0 0 0 0 1 0 0 0 0
"Cyp2d11" 0 0 0 0 0 0 0 0 0 0
"Cyp2d12" 0 0 0 0 0 0 0 0 0 0
"Cyp2d13" 0 0 0 0 0 0 0 0 0 0
"Cyp2d22" 0 0 0 0 0 1 0 0 0 0
"Cyp2d26" 0 0 0 0 0 1 0 0 0 0
"Cyp2d34" 0 0 0 0 0 1 0 0 0 0
"Cyp2d37-ps" 0 0 0 0 0 18 0 0 0 0
"Cyp2d40" 0 0 0 0 0 154 0 0 0 0
"Cyp2d9" 0 0 0 0 0 1 0 0 0 0
"Cyp2e1" 0 0 0 1 3 53 4 0 4 5
"Cyp2f2" 0 0 0 180 0 0 0 1 0 177
"Cyp2g1" 0 0 0 2 0 0 0 0 0 0
"Cyp2j11" 0 0 0 0 0 0 0 0 0 1
"Cyp2j12" 0 1 0 75 0 0 0 86 0 369
"Cyp2j13" 0 0 0 0 0 0 0 0 0 0
"Cyp2j5" 0 0 0 0 0 0 0 29 0 0
"Cyp2j6" 0 0 0 0 0 0 0 1 0 2
"Cyp2j8" 0 0 0 0 0 0 0 0 0 0
"Cyp2j9" 0 0 0 1 0 0 1 0 0 8
"Cyp2r1" 0 0 0 40 0 0 0 3 0 21
"Cyp2s1" 3562 719 1039 221 6929 4033 1348 212 1868 671
"Cyp2t4" 0 0 0 0 0 2 0 0 0 0
"Cyp2u1" 0 0 0 25 0 1 0 1 0 42
"Cyp2w1" 0 0 0 0 0 0 0 0 0 0
"Cyp39a1" 0 0 2 354 0 1710 0 274 0 767
"Cyp3a11" 0 0 0 0 0 0 0 0 0 0
"Cyp3a13" 0 0 0 0 0 0 0 0 0 0
"Cyp3a16" 0 0 0 0 0 0 0 0 0 0
"Cyp3a25" 0 0 0 0 0 0 0 0 4 0
"Cyp3a41a" 0 0 0 0 0 0 0 0 0 0
"Cyp3a41a|Cyp3a41b" 0 0 0 0 0 0 0 0 0 0
"Cyp3a44" 0 0 0 0 0 0 0 0 0 0
"Cyp3a57" 0 0 0 0 0 0 0 0 44 0
"Cyp3a59" 0 0 0 0 0 0 0 0 1 0
"Cyp46a1" 0 0 0 0 0 0 0 0 0 84
"Cyp4a10" 0 0 0 139 0 0 0 0 0 3
"Cyp4a12a" 0 0 0 0 0 0 0 0 0 0
"Cyp4a12b" 0 0 0 0 0 0 0 0 0 0
"Cyp4a14" 0 0 0 36 0 0 0 6 0 2
"Cyp4a29-ps" 0 0 0 0 0 0 0 0 0 0
"Cyp4a30b-ps" 0 0 0 0 0 0 0 0 0 0
"Cyp4a31" 0 0 0 12 0 0 0 0 0 0
"Cyp4a32" 0 0 0 7 0 0 0 0 0 0
"Cyp4b1" 0 0 0 0 0 0 0 0 0 0
"Cyp4f13" 0 0 0 0 0 0 0 0 0 1
"Cyp4f14" 0 0 0 0 0 0 0 0 0 0
"Cyp4f15" 0 0 0 0 0 0 0 0 0 0
"Cyp4f16" 0 0 0 0 2 0 0 0 0 0
"Cyp4f17" 0 0 0 0 0 0 0 0 9 0
"Cyp4f18" 0 0 0 9 0 0 0 0 0 0
"Cyp4f39" 0 0 0 0 427 0 0 0 0 2
"Cyp4f40" 0 0 0 0 0 0 0 0 0 0
"Cyp4f41-ps" 0 0 0 0 0 0 0 0 14 0
"Cyp4v3" 0 0 1 110 0 3 0 0 0 64
"Cyp4x1" 0 0 0 0 0 0 0 0 0 0
"Cyp51" 77 0 8 0 0 17 1 262 0 84
"Cyp7a1" 0 0 7 115 0 0 0 0 0 0
"Cyp7b1" 0 0 1 3 0 0 0 4 0 226
"Cyp8b1" 0 0 0 0 0 0 0 0 0 0
"Cypt1" 0 0 0 0 0 0 0 0 0 0
"Cypt10" 0 0 0 0 0 0 0 0 0 0
"Cypt12" 0 0 0 0 0 0 0 3 0 0
"Cypt14" 0 0 0 0 0 0 0 0 0 0
"Cypt15" 0 0 0 0 0 0 0 0 0 0
"Cypt2-ps" 0 0 0 196 0 580 0 4 0 0
"Cypt3" 0 0 0 107 0 8 0 0 0 0
"Cypt4" 0 0 0 0 0 0 0 0 0 0
"Cypt7" 0 0 0 0 0 0 0 0 0 0
"Cypt8" 0 0 0 0 0 0 0 0 0 0
"Cypt9" 0 0 0 0 0 0 0 0 0 0
"Cyr61" 112 66 45 44 0 2 515 207 0 0
"Cys1" 3 0 0 1 0 0 0 0 1 0
"Cysltr1" 0 0 0 0 0 0 0 0 0 0
"Cysltr2" 0 0 0 0 0 0 0 0 0 0
"Cyth1" 0 0 0 0 0 0 89 0 0 1
"Cyth2" 1329 860 276 145 0 1809 1166 190 506 244
"Cyth3" 0 23 0 197 0 7 35 34 566 621
"Cyth4" 0 0 0 0 0 1 0 0 0 0
"Cytip" 0 0 0 0 0 0 1 0 0 0
"Cytl1" 0 0 0 0 0 0 0 0 0 0
"Cyyr1" 0 0 0 0 0 0 0 0 0 0
"D030016E14Rik" 449 57 13 252 1002 3048 24 12 1804 716
"D030018L15Rik" 0 0 0 254 0 5 0 5 0 346
"D030024E09Rik" 0 0 0 221 0 0 0 12 0 144
"D030025P21Rik" 0 0 0 0 0 0 0 0 0 0
"D030028A08Rik" 0 8 0 80 0 17 0 5 0 26
"D030040B21Rik" 0 40 0 0 0 19 0 2 1 0
"D030045P18Rik" 0 0 0 0 0 0 0 0 0 0
"D030047H15Rik" 0 0 0 0 0 0 0 0 52 0
"D030056L22Rik" 537 1401 63 184 6 10494 5 3820 27 482
"D0H4S114" 0 0 1 436 0 86 0 10 0 1416
"D10Bwg1379e" 0 0 0 254 0 6 0 5 0 294
"D10Jhu81e" 0 0 24 19 0 1 200 0 6 241
"D10Wsu102e" 327 328 156 5473 7 5132 1579 772 286 20640
"D10Wsu52e" 643 870 36 443 6 857 2304 135 1454 496
"D11Wsu47e" 61 515 0 211 4406 1904 19 3 6 1013
"D11Wsu99e" 361 244 51 741 2 2553 165 140 225 3998
"D130009I18Rik" 0 0 0 0 0 0 0 0 0 0
"D130017N08Rik" 0 0 0 0 0 0 0 0 7 24
"D130020L05Rik" 10 0 0 1 1 99 1 32 0 2
"D130040H23Rik" 0 0 0 0 0 6 0 0 98 0
"D130043K22Rik" 0 0 0 0 0 0 0 139 0 0
"D14Abb1e" 928 1387 233 78 3162 5157 711 266 2048 1190
"D14Ertd449e" 0 0.666666666666667 29 9.33333333333333 0 2 197.666666666667 0.333333333333333 71.3333333333333 13.3333333333333
"D14Ertd668e" 0 5 0 8 971 148 470 26 365 0
"D15Ertd621e" 606 683 189 1149 925 2522 1091 981 3090 811
"D16Ertd472e" 144 1011 3 23 1 8737 145 308 959 76
"D16Ertd519e" 0 0 0 118 0 0 0 4 0 215
"D16H22S680E" 107 1060 68 168 0 1874 217 225 175 4
"D17H6S53E" 156 390 29 0 1 336 94 30 174 0
"D17H6S56E-3" 0 49 0 0 0 75 4 0 0 0
"D17Wsu104e" 443 298 160 75 1736 11 1646 2 654 179
"D17Wsu92e" 1626 1874 189 2590 1162 15339 1265 1828 1194 11307
"D18Ertd653e" 0 0 0 46 0 0 0 3 0 364
"D19Bwg1357e" 2587 4844 1241 178 3797 16457 2554 1306 6171 957
"D19Ertd386e" 0 353 1 646 0 192 0 10 34 2807
"D19Ertd737e" 130 298 15 859 0 1436 24 186 840 1663
"D19Wsu162e" 460 62 35 881 1665 1880 1513 290 1328 4979
"D1Bwg0212e" 2 176 4 452 0 865 11 39 218 3537
"D1Ertd622e" 8 20 2 4787 0 1825 24 1673 0 9712
"D1Pas1" 1 319 0 6 2 310 0 349 0 4
"D230025D16Rik" 1285 1055 159 561 0 17910 2831 2451 848 865
"D230037D09Rik" 185 66 124 42 0 1376 517 47 504 86
"D2Ertd750e" 87 340 1 6177 588 7459 920 3190 122 17208
"D2hgdh" 0 0 18 85 0 377 433 0 995 0
"D2Wsu81e" 3 648 0 22 302 2269 834 336 1702 2
"D330012F22Rik" 0 0 0 1 0 31 2 1 0 12
"D330023K18Rik" 0 0 0 0 0 2 1 0 0 0
"D330028D13Rik" 0 0 0 524 0 0 104 37 1752 1830
"D330041H03Rik" 0 0 0 1 0 4 0 0 0 0
"D330045A20Rik" 0 3 0 208 0 4 1 0 0 329
"D330050G23Rik" 0 0 0 2 0 36 0 0 0 4
"D330050I16Rik" 11 0 0 0 0 1 0 0 0 23
"D3Bwg0562e" 0 0 0 0 1 4 0 0 0 0
"D3Ertd254e" 264 244 3 20 0 1528 1 0 3 6
"D3Ertd751e" 0 1 0 112 7 0 0 4 9 12
"D430019H16Rik" 0 0 0 0 0 0 0 0 0 0
"D430020J02Rik" 0 0 0 64 0 0 0 18 0 292
"D430036J16Rik" 0 0 0 0 0 0 0 0 0 0
"D430041D05Rik" 0 0 0 0 0 2 0 0 0 0
"D430042O09Rik" 0 223 1 595 0 1486 0 221 0 1745
"D430050G20" 0 0 0 0 0 0 0 0 0 0
"D4Bwg0951e" 0 0 0 145 0 1 793 4 0 1822
"D4Ertd22e" 997 651 203 464 1549 884 1819 643 1650 1299
"D4Ertd617e" 0 0 0 0 0 0 0 0 0 0
"D4Wsu53e" 255 1144 70 336 0 9787 937 780 324 440
"D530049I02Rik" 0 0 0 0 0 0 0 0 0 0
"D5Ertd577e" 8 239 42 564 1 2292 2 114 8 1253
"D5Ertd579e" 0 2 10 61 0 85 732 9 447 1538
"D5Ertd605e" 279 0 0 0 0 6 1 0 0 1
"D630003M21Rik" 1 0 0 1 0 1 0 0 2 0
"D630023F18Rik" 0 0 0 2 0 0 0 0 0 0
"D630029K05Rik" 0 0 0 0 0 0 0 0 0 0
"D630032N06Rik" 0 0 0 0 0 1 0 0 0 0
"D630037F22Rik" 0 0 1 718 0 389 0 153 0 1730
"D630039A03Rik" 0 0 0 0 0 0 0 0 0 0
"D630041G03Rik" 0 0 0 0 0 0 0 0 0 0
"D630042F21Rik" 0 0 0 10 0 0 0 1 0 12
"D630042P16Rik" 0 0 0 0 0 0 0 0 0 0
"D630045J12Rik" 0 28 9 105 0 1 0 29 0 494
"D6Ertd474e" 0 135 1 7464 0 1176 0 1919 0 10578
"D6Ertd527e" 0 1 8 38742 0 4918 0 2837 0 88718
"D6Mm5e" 0 0 0 9 0 0 46 0 0 0
"D6Wsu116e" 671 3155 299 968 52 4584 1200 1573 2236 3026
"D6Wsu163e" 2183 1400 302 375 4 48 1 28 0 1126
"D730001G18Rik" 0 0 0 0 0 0 0 0 0 0
"D730005E14Rik" 14 536 0 0 0 936 0 3 16 0
"D730039F16Rik" 0 355 0 0 0 0 0 0 0 0
"D730040F13Rik" 1 181 0 277 3639 20 9 20 162 1223
"D730048I06Rik" 0 0 0 0 0 0 0 0 0 0
"D7Ertd443e" 0 876 9 9288 0 4208 0 1138 0 11188
"D7Ertd715e" 607 204 17 86 0 413 72 1 183 45
"D830005E20Rik" 0 0 0 0 0 0 0 0 0 0
"D830015G02Rik" 0 0 0 0 0 0 0 0 0 0
"D830030K20Rik" 0 0 0 0 3 0 0 0 0 0
"D830031N03Rik" 0 245 12 4 0 0 0 0 0 11
"D830046C22Rik" 0 0 0 0 0 0 0 0 0 0
"D8Ertd738e" 4597 1871 580 344 3753 17004 2537 1913 2021 1762
"D8Ertd82e" 0 0 0 0 0 1 0 0 0 0
"D930014E17Rik" 0 0 1 56 1076 2 476 144 1118 436
"D930015E06Rik" 0 358 164 327 0 3697 125 174 69 1504
"D930015M05Rik" 0 0 0 0 0 0 0 0 0 0
"D930016D06Rik" 315 206 49 87 0 1291 0 48 0 219
"D930020B18Rik" 0 0 0 95 865 1 262 0 0 240
"D930020E02Rik" 0 0 0 0 0 0 0 0 0 0
"D930048N14Rik" 0 0 0 0 0 0 0 0 0 0
"D9Ertd402e" 0 12 2 2489 0 1616 58 979 0 4482
"Daam1" 0 32 101 8145 2225 6725 147 2291 369 16533
"Daam2" 0 0 0 0 1 0 0 0 0 0
"Dab1" 0 0 0 424 0 2 0 319 0 870
"Dab2" 9715 238 1 2375 29600 1858 6291 602 301 3415
"Dab2ip" 0 0 0 55 0 82 282 3 0 68
"Dach1" 0 0 0 22 0 12 0 2 0 13
"Dach2" 0 0 0 0 0 0 0 0 0 1
"Dact1" 0 0 0 0 0 2 0 0 0 1
"Dact2" 0 0 0 0 0 0 0 0 0 0
"Dact3" 0 92 1 141 0 80 0 21 16 1385
"Dad1" 2507 1030 481 1166 1971 926 5719 113 2687 3695
"Daf2" 0 0 0 139 0 1 0 43 0 270
"Dag1" 267 194 2 351 430 2193 515 481 1211 1330
"Dagla" 0 0 0 3 0 1 0 9 0 0
"Daglb" 0 405 0 854 0 1895 1 86 0 4385
"Dak" 0 4 0 14 2431 7 0 5 8 12
"Dalrd3" 1 112 246 7 14 6 16 1 667 34
"Dand5" 0 0 0 18 0 0 0 10 0 127
"Dao" 0 0 0 4 0 0 0 0 0 21
"Dap" 873 0 2 7 1380 17 1470 4 1190 0
"Dap3" 1251 355 85 1094 2639 2251 2306 37 2742 5110
"Dapk1" 0 0 0 0 0 4 244 0 0 25
"Dapk2" 12 0 0 82 0 0 0 7 0 22
"Dapk3" 1 1 1 15 0 10 0 0 0 1
"Dapl1" 0 0 0 0 0 0 5 0 0 0
"Dapp1" 0 0 0 0 2 0 677 0 0 195
"Darc" 0 0 0 0 0 0 0 0 0 0
"Dars" 1183 841 257 1055 3558 3725 6271 138 7026 1078
"Dars2" 1058 11 104 9 5 22 1092 17 1863 0
"Daxx" 45 711 26 213 3730 1097 494 7 145 1531
"Dazap1" 8 0 10 24 10 172 50 3 17 15
"Dazap2" 4160 1097 439 9769 4371 988 2300 1193 3258 12086
"Dazl" 0 503 6 32992 0 3359 0 4446 0 36963
"Dbc1" 0 0 0 0 0 1 1 0 0 0
"Dbf4" 1666 2596 277 12120 0 33212 1129 13943 904 25278
"Dbh" 0 0 0 0 0 0 0 0 0 0
"Dbi" 145 5 2 381 3 471 531 236 762 1625
"Dbil5" 0 0 0 0 0 1 0 0 0 0
"Dbn1" 0 0 0 17 0 0 0 3 0 211
"Dbndd1" 0 0 0 513 0 628 0 407 0 2427
"Dbndd2" 0 124 0 0 2 366 355 189 2 111
"Dbnl" 760 933 125 11 1 3526 364 114 1402 694
"Dbp" 0 0 0 17 0 0 0 0 0 0
